insectcode,indb
INSECTGUA_0053,y
INSECTGUA_0310,y
INSECTGUA_0419,y
INSECTGUA_0441,y
INSECTGUA_0446,y
INSECTGUA_0472,y
INSECTGUA_0662,y
INSECTGUA_0735,y
INSECTGUA_1101,y
INSECTGUA_1110,y
INSECTGUA_1133,y
INSECTGUA_1138,y
INSECTGUA_1140,y
INSECTGUA_1146,y
INSECTGUA_1148,y
INSECTGUA_1151,y
INSECTGUA_1224,y
INSECTGUA_1251,y
INSECTGUA_1281,y
INSECTGUA_1287,y
INSECTGUA_1291,y
INSECTGUA_1296,y
INSECTGUA_1463,y
INSECTGUA_1484,y
INSECTGUA_1494,y
INSECTGUA_1509,y
INSECTGUA_1732,y
INSECTGUA_1737,y
INSECTGUA_1738,y
INSECTGUA_1740,y
INSECTGUA_1741,y
INSECTGUA_1742,y
INSECTGUA_1746,y
INSECTGUA_1753,y
INSECTGUA_1754,y
INSECTGUA_1756,y
INSECTGUA_1792,y
INSECTGUA_1798,y
INSECTGUA_1799,y
INSECTGUA_1801,y
INSECTGUA_1802,y
INSECTGUA_1805,y
INSECTGUA_1806,y
INSECTGUA_1808,n
INSECTGUA_1815,y
INSECTGUA_1816,y
INSECTGUA_1817,y
INSECTGUA_1818,y
INSECTGUA_1819,y
INSECTGUA_1820,y
INSECTGUA_1825,y
INSECTGUA_1826,y
INSECTGUA_1827,y
INSECTGUA_1829,y
INSECTGUA_1836,y
INSECTGUA_1866,y
INSECTGUA_1946,y
INSECTGUA_1970,y
INSECTGUA_2007,y
INSECTGUA_2039,y
INSECTGUA_2103,y
INSECTGUA_2104,y
INSECTGUA_2105,y
INSECTGUA_2106,y
INSECTGUA_2107,y
INSECTGUA_2108,y
INSECTGUA_2109,y
INSECTGUA_2110,y
INSECTGUA_2111,y
INSECTGUA_2112,y
INSECTGUA_2113,y
INSECTGUA_2114,y
INSECTGUA_2115,y
INSECTGUA_2116,y
INSECTGUA_2117,y
INSECTGUA_2118,y
INSECTGUA_2119,y
INSECTGUA_2120,y
INSECTGUA_2121,y
INSECTGUA_2199,y
INSECTGUA_2221,y
INSECTGUA_2222,y
INSECTGUA_2223,y
INSECTGUA_2224,y
INSECTGUA_2228,y
INSECTGUA_2231,y
INSECTGUA_2232,y
INSECTGUA_2233,y
INSECTGUA_2234,y
INSECTGUA_2235,y
INSECTGUA_2332,y
INSECTGUA_2333,y
INSECTGUA_2334,y
INSECTGUA_2335,y
INSECTGUA_2336,y
INSECTGUA_2337,y
INSECTGUA_2338,y
INSECTGUA_2339,y
INSECTGUA_2340,y
INSECTGUA_2341,y
INSECTGUA_2342,y
INSECTGUA_2343,y
INSECTGUA_2344,y
INSECTGUA_2345,y
INSECTGUA_2346,y
INSECTGUA_2347,y
INSECTGUA_2348,y
INSECTGUA_2349,y
INSECTGUA_2350,y
INSECTGUA_2351,y
INSECTGUA_2352,y
INSECTGUA_2353,y
INSECTGUA_2354,y
INSECTGUA_2355,y
INSECTGUA_2356,y
INSECTGUA_2357,y
INSECTGUA_2358,y
INSECTGUA_2359,y
INSECTGUA_2360,y
INSECTGUA_2361,y
INSECTGUA_2362,y
INSECTGUA_2363,y
INSECTGUA_2364,y
INSECTGUA_2365,y
INSECTGUA_2366,y
INSECTGUA_2367,y
INSECTGUA_2368,y
INSECTGUA_2369,y
INSECTGUA_2370,y
INSECTGUA_2371,y
INSECTGUA_2372,y
INSECTGUA_2379,y
INSECTGUA_2380,y
INSECTGUA_2381,y
INSECTGUA_2382,y
INSECTGUA_2383,y
INSECTGUA_2384,y
INSECTGUA_2385,y
INSECTGUA_2386,y
INSECTGUA_2387,y
INSECTGUA_2388,y
INSECTGUA_2389,y
INSECTGUA_2390,y
INSECTGUA_2391,y
INSECTGUA_2392,y
INSECTGUA_2393,y
INSECTGUA_2514,y
INSECTGUA_2523,y
INSECTGUA_2524,y
INSECTGUA_2525,y
INSECTGUA_2526,y
INSECTGUA_2530,y
INSECTGUA_2539,y
INSECTGUA_2540,y
INSECTGUA_2541,y
INSECTGUA_2542,y
INSECTGUA_2552,y
INSECTGUA_2553,y
INSECTGUA_2554,y
INSECTGUA_2557,y
INSECTGUA_2558,y
INSECTGUA_2560,y
INSECTGUA_2561,y
INSECTGUA_2562,y
INSECTGUA_2563,y
INSECTGUA_2564,y
INSECTGUA_2565,y
INSECTGUA_2566,y
INSECTGUA_2567,y
INSECTGUA_2568,y
INSECTGUA_2569,y
INSECTGUA_2570,y
INSECTGUA_2571,y
INSECTGUA_2572,y
INSECTGUA_2573,y
INSECTGUA_2574,y
INSECTGUA_2575,y
INSECTGUA_2576,y
INSECTGUA_2577,y
INSECTGUA_2578,y
INSECTGUA_2579,y
INSECTGUA_2580,y
INSECTGUA_2581,y
INSECTGUA_2582,y
INSECTGUA_2583,y
INSECTGUA_2584,y
INSECTGUA_2585,y
INSECTGUA_2586,y
INSECTGUA_2587,y
INSECTGUA_2588,y
INSECTGUA_2589,y
INSECTGUA_2590,y
INSECTGUA_2591,y
INSECTGUA_2592,y
INSECTGUA_2593,y
INSECTGUA_2594,y
INSECTGUA_2595,y
INSECTGUA_2596,y
INSECTGUA_2597,y
INSECTGUA_2598,y
INSECTGUA_2599,y
INSECTGUA_2600,y
INSECTGUA_2623,y
INSECTGUA_2624,y
INSECTGUA_2625,y
INSECTGUA_2626,y
INSECTGUA_2627,y
INSECTGUA_2628,y
INSECTGUA_2629,y
INSECTGUA_2630,y
INSECTGUA_2631,y
INSECTGUA_2632,y
INSECTGUA_2633,y
INSECTGUA_2634,y
INSECTGUA_2635,y
INSECTGUA_2636,y
INSECTGUA_2637,y
INSECTGUA_2638,y
INSECTGUA_2639,y
INSECTGUA_2640,y
INSECTGUA_2641,y
INSECTGUA_2642,y
INSECTGUA_2643,y
INSECTGUA_2644,y
INSECTGUA_2645,y
INSECTGUA_2646,y
INSECTGUA_2647,y
INSECTGUA_2648,y
INSECTGUA_2649,y
INSECTGUA_2650,y
INSECTGUA_2651,y
INSECTGUA_2652,y
INSECTGUA_2653,y
INSECTGUA_2654,y
INSECTGUA_2655,y
INSECTGUA_2656,y
INSECTGUA_2657,y
INSECTGUA_2658,y
INSECTGUA_2659,y
INSECTGUA_2660,y
INSECTGUA_2661,y
INSECTGUA_2662,y
INSECTGUA_2663,y
INSECTGUA_2664,y
INSECTGUA_2665,y
INSECTGUA_2666,y
INSECTGUA_2667,y
INSECTGUA_2668,y
INSECTGUA_2669,y
INSECTGUA_2670,y
INSECTGUA_2671,y
INSECTGUA_2672,y
INSECTGUA_2673,y
INSECTGUA_2674,y
INSECTGUA_2675,y
INSECTGUA_2676,y
INSECTGUA_2677,y
INSECTGUA_2678,y
INSECTGUA_2679,y
INSECTGUA_2680,y
